Year,Month,Median,2.5 Percentile,97.5 Percentile
1950,1,149.48,141.4,159.7
1950,2,101.76,92.4,110.9
1950,3,81.02,70.8,89.93
1950,4,89.82,80.36,99.66
1950,5,39.12,28.15,50
1950,6,66.29,55.53,78.48
1950,7,99.47,88.56,109.44
1950,8,67.41,57.54,77.05
1950,9,89.85,79.31,101.46
1950,10,80.49,71.37,90.99
1950,11,134.32,123.87,143.53
1950,12,57.33,48.35,66.91
1951,1,67.38,57.58,75.84
1951,2,75.65,65.68,84.39
1951,3,94.91,84.35,104.01
1951,4,72.7,63.13,81.98
1951,5,66.09,55.53,78.07
1951,6,86.83,76.34,98.44
1951,7,66.12,56.33,78.2
1951,8,40.88,31.31,50.82
1951,9,67.48,56.6,79.41
1951,10,77.45,68.11,88.37
1951,11,101.84,91.12,111.08
1951,12,93.71,85.07,103.4
1952,1,92.76,84.13,101.9
1952,2,48.01,38.77,57.07
1952,3,61.06,52.25,70.91
1952,4,66.45,56.49,76.62
1952,5,86.73,76.09,97.83
1952,6,32.23,21.24,42.92
1952,7,55.27,45.05,66.22
1952,8,81.3,69.34,90.55
1952,9,78.85,68.02,89.78
1952,10,36.51,27.39,46.19
1952,11,56.74,46.96,67.16
1952,12,61.62,52.04,70.77
1953,1,73.73,63.7,82.77
1953,2,26.68,18.63,36.06
1953,3,66.76,57.61,76.41
1953,4,58.37,49.15,67.77
1953,5,105.89,94.6,116.91
1953,6,52.62,41.59,63.45
1953,7,62.95,53.34,73.96
1953,8,61.28,51.05,70.89
1953,9,60.64,49.55,71.84
1953,10,31.02,22.67,41.2
1953,11,55.93,44.94,65.12
1953,12,58.6,48.52,67.89
1954,1,65.87,56.45,74.77
1954,2,76.64,66.75,85.53
1954,3,113.91,101.38,123.2
1954,4,118.03,106.52,127.76
1954,5,28.92,19.03,40.53
1954,6,58.31,47.53,69.95
1954,7,50.18,40.6,60.47
1954,8,68.14,58.48,79.99
1954,9,52.01,42.42,63.65
1954,10,224.13,211.49,234.07
1954,11,52.83,43.48,63.5
1954,12,55.91,46.41,65.07
1955,1,54.33,46.41,63.37
1955,2,57.57,47.66,66.35
1955,3,78.69,69.38,88.2
1955,4,77.22,66.19,86.42
1955,5,48.19,37.22,59.23
1955,6,42.39,31.47,53.38
1955,7,54.03,44.27,65.39
1955,8,100.27,88.98,109.86
1955,9,54.65,44.23,65.76
1955,10,147.47,136.91,156.92
1955,11,76.55,67.17,88.13
1955,12,33.02,24.26,42.3
1956,1,40.68,31.12,49.32
1956,2,69.22,59.4,78.28
1956,3,86.96,77.93,96.55
1956,4,88.54,77.7,98
1956,5,125.86,115.13,137.96
1956,6,60.75,50.31,72.04
1956,7,93.36,83.08,103.49
1956,8,156,143.21,166.2
1956,9,53.75,43.48,64.59
1956,10,38,29.49,48.48
1956,11,53.23,43.16,62.64
1956,12,59.15,50.24,68.46
1957,1,69.43,59.53,78.25
1957,2,50.41,40.96,60.01
1957,3,29.31,20.65,38.4
1957,4,122.33,112.26,132.06
1957,5,80.34,69.43,91.21
1957,6,126.8,115.78,138.08
1957,7,94.74,82.73,105.33
1957,8,54.88,44.35,64.23
1957,9,111.08,99.76,122
1957,10,77.41,68.09,87.76
1957,11,63.82,54.67,74.06
1957,12,80.94,71.63,90.63
1958,1,46.54,37.54,55.5
1958,2,26.14,17.32,35.09
1958,3,14.29,7.25,23.03
1958,4,65.68,54.65,74.87
1958,5,49.1,37.85,60.16
1958,6,104.58,93.2,116.04
1958,7,111.45,101.43,123.67
1958,8,95.89,85.95,105.82
